id;lugar;frecuencia;agradable;3 La iluminacion le permite:;4 La calidad de la iluminacion;5 Identificar�a situaci�n de peligro?;6 Las caracteristicas de la zona:;7a Ser Vista;7b Ser Escuchada;8 Cantidad de personas le generan:;9 Zona segura si hay presencia de:;10 Los andenes le permiten:;11 Calidad de andenes le genera:;12 Medio de transporte que utiliza;13 Que sensaci�n experimenta en TP?;14 Tiempo entre paradero y su casa;15a Demasiadas personas dentro del TP;15b Muy pocas personas dentro del TP;15c Ventas informales en el TP;15d Caminata hacia el paradero;15e Condiciones de espera del TP;15f Alg�n desconocido quiere hablar;15g Viajar sola, sin compa��a;15h Viajar con ni�@ o ancian@;15i Viajar de noche;16 Hora que considera insegura;16a Hora militar;17a Primera Opci�n;17b Segunda Opci�n;17c Tercera Opci�n;18b Hombres;18a Mujeres;18c Ni�as y Ni�os;Personas;D1 Edad;D2 Actividad Principal;D3 Escolaridad;D4 Autoreconocimineto;D5 Discapacidad;D6 Identidad de g�nero;D7 Orientaci�n sexual;D8 Localidad;D9 Estrato
84;156;1;2;1;1;1;1;1;1;1;1;1;1;1;10;3;2;1;2;1;1;2;2;2;2;1;22:00;3;99;99;1;1;2;3;17;2;7;7;8;2;1;8;3
85;156;1;2;1;1;2;2;1;1;1;1;1;1;1;2;4;1;1;1;1;1;1;1;1;1;1;18:00;3;4;99;1;1;2;3;16;2;4;6;8;2;1;19;2
86;156;3;2;2;2;3;1;2;2;5;3;2;1;1;2;5;1;2;1;1;1;1;1;1;1;3;88;6;99;99;2;2;3;1;31;4;8;7;8;2;1;7;2
87;156;3;2;2;2;2;2;2;2;6;3;1;6;3;2;5;2;1;1;1;1;1;1;1;2;1;22:00;5;99;99;1;2;2;2;26;2;7;2;8;2;1;8;2
88;156;1;2;3;2;2;2;1;2;4;3;2;2;1;2;5;1;1;1;1;2;1;1;1;1;1;20:00;4;99;99;1;1;2;3;23;1;8;7;8;2;1;20;3
89;156;1;2;2;6;2;2;1;1;1;1;2;2;1;2;1;1;2;1;1;2;1;2;1;1;1;22:00;4;99;99;2;1;2;3;37;4;8;7;8;2;1;19;2
90;156;1;3;3;1;1;2;1;1;3;3;2;1;6;2;5;1;2;1;1;1;2;1;1;1;1;21:00;2;99;99;2;2;3;1;19;7;6;7;8;2;2;1;3
91;156;3;1;1;2;3;1;2;1;4;3;2;2;1;2;2;1;2;2;2;1;1;1;1;1;1;22:00;4;99;99;1;1;3;2;17;2;7;7;8;2;1;20;3
92;156;1;2;3;1;1;1;1;2;1;3;2;2;1;3;5;1;1;1;1;1;1;1;1;1;1;19:00;1;99;99;1;1;2;3;40;1;7;7;8;2;1;20;2
93;156;1;3;4;4;4;6;2;1;6;3;1;3;3;3;2;99;1;1;2;1;1;2;1;2;1;18:00;4;99;99;2;1;3;2;25;1;8;6;8;2;1;1;2
94;156;3;2;2;6;2;2;1;1;3;2;2;2;1;2;4;2;1;1;2;1;1;1;2;1;1;21:00;6;99;99;1;2;3;1;27;99;7;7;8;2;2;13;4
95;156;1;2;2;2;2;2;1;1;3;4;2;2;1;2;2;1;2;1;1;2;1;1;1;1;1;22:00;4;99;99;1;1;1;3;19;3;6;7;8;2;1;4;2
96;156;1;2;1;2;4;2;2;2;2;1;1;1;1;1;1;1;2;2;2;1;1;2;1;1;1;23:00;4;99;99;1;1;2;3;26;3;8;7;8;2;1;20;3
97;156;1;3;2;6;3;2;2;2;4;3;2;7;9;3;2;1;1;2;2;1;1;2;2;2;1;22:00;2;99;99;1;1;1;3;18;2;7;7;8;2;1;7;2
98;156;1;3;2;2;3;5;2;2;6;1;1;8;9;11;4;1;2;1;1;1;2;1;1;1;1;19:00;6;99;99;1;2;3;1;36;1;6;7;8;2;1;10;2
99;156;1;3;1;3;3;5;2;2;6;3;2;3;1;7;5;1;2;1;1;1;2;1;1;1;1;19:00;6;99;99;2;1;1;3;17;2;7;7;8;2;1;20;3
100;156;2;3;2;5;4;5;2;2;6;3;2;4;1;4;3;2;2;1;1;1;2;1;1;1;1;18:00;2;99;99;1;2;2;2;31;3;8;5;8;2;1;10;3
101;155;2;2;2;2;3;2;2;2;7;1;2;2;1;12;4;1;2;1;1;1;2;1;2;1;3;88;4;99;99;1;2;2;2;27;1;8;6;99;2;1;8;3
102;155;1;2;2;2;3;1;1;1;4;3;2;1;1;1;2;2;1;2;2;2;1;1;1;1;1;22:00;3;99;99;1;2;2;2;19;1;4;7;8;2;1;10;2
103;155;2;2;1;4;1;1;2;2;5;1;2;1;1;12;2;1;1;1;2;1;1;1;2;1;1;20:00;10;99;99;2;2;3;1;38;1;8;7;8;2;1;16;4
104;155;3;2;1;4;2;3;2;1;7;1;2;3;1;5;2;1;1;2;1;2;1;2;2;2;1;19:00;3;99;99;1;1;2;3;29;1;5;6;8;2;1;5;1
105;155;1;2;2;6;2;1;2;2;4;1;2;1;1;2;3;1;2;1;1;1;2;1;2;1;1;22:00;3;99;99;2;1;2;3;50;1;4;6;8;2;1;7;2
106;155;2;2;3;2;3;1;2;2;6;3;2;1;1;2;2;1;1;1;2;2;1;2;1;2;1;22:00;2;3;6;2;2;3;1;48;1;9;7;8;2;1;18;3
107;155;2;2;1;3;3;1;2;2;3;3;1;3;1;5;2;1;1;2;2;1;1;1;2;1;1;20:00;2;99;99;1;1;2;3;18;2;7;7;8;2;1;13;4
108;155;2;2;2;1;3;6;2;2;7;2;1;4;7;12;2;1;2;1;2;2;1;1;2;1;1;20:00;1;99;99;1;1;2;3;34;3;8;6;8;2;1;13;4
109;155;2;2;1;3;3;3;2;2;1;3;2;1;1;9;2;1;1;1;1;1;1;2;1;1;3;88;2;99;99;2;1;3;2;62;1;6;6;8;2;1;13;4
110;155;3;2;1;4;3;2;1;1;2;2;2;2;1;11;3;1;1;1;2;2;1;2;1;1;3;88;4;99;99;2;2;3;1;23;1;6;7;8;2;1;21;2
111;155;3;4;1;5;4;5;2;2;5;3;1;4;1;5;5;1;1;1;1;1;1;1;1;1;1;19:00;2;99;99;2;3;3;0;50;1;9;7;8;2;1;10;3
112;155;1;4;1;3;4;3;2;2;4;3;1;3;1;2;2;1;2;1;1;1;1;2;1;1;1;19:00;3;99;99;1;2;2;2;35;1;9;7;8;2;1;13;4
113;155;2;1;2;1;2;2;2;2;1;3;1;3;1;2;2;1;2;2;1;1;1;1;1;1;1;18:00;1;99;99;1;1;3;2;24;3;7;7;8;2;1;99;2
114;155;2;2;2;2;3;2;2;2;2;3;1;2;1;2;3;1;2;1;2;1;1;2;2;1;3;88;6;99;99;1;1;2;3;16;2;4;7;8;2;1;13;4
115;155;3;3;2;2;3;5;1;1;5;2;2;1;1;7;3;2;1;2;1;1;1;2;2;1;1;20:00;4;99;99;1;2;2;2;30;1;8;7;8;2;1;8;3
